2025-11-30 13:52:48.411; DRONE_X=-1.002; DRONE_Y=-1.002; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:52:49.414; DRONE_X=-1.001; DRONE_Y=-1.001; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:52:50.417; DRONE_X=-1.001; DRONE_Y=-1.000; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:52:51.420; DRONE_X=-1.000; DRONE_Y=-1.000; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:52:52.423; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:52:53.426; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:52:54.429; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:52:55.432; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:52:56.435; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:52:57.439; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:52:58.442; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:52:59.446; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:53:00.449; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
2025-11-30 13:53:01.453; DRONE_X=-1.000; DRONE_Y=-0.999; DRONE_Z=1.496; TARGET_X=-1.000; TARGET_Y=-1.000; TARGET_Z=1.500
